"","keyword","Score","Frecuencia","Ref_freq","Rel_freq","Rel_ref_freq"
"1","neural network",181.42,16,74,236.841,0.311
"2","information architecture",177.9,21,179,310.853,0.753
"3","management science",147.19,11,27,162.828,0.114
"4","control scheme",135.97,10,23,148.025,0.097
"5","pervasive computing",127.83,9,12,133.223,0.05
"6","fuzzy control",119.42,8,0,118.42,0
"7","optimal control",114.17,8,11,118.42,0.046
"8","fuzzy logic",108.07,8,25,118.42,0.105
"9","sliding mode",104.62,7,0,103.618,0
"10","color constancy",103.79,7,2,103.618,0.008
"11","genetic algorithm",98.88,7,14,103.618,0.059
"12","new method",96.82,12,201,177.63,0.846
"13","state feedback",89.81,6,0,88.815,0
"14","switching line",89.81,6,0,88.815,0
"15","mu m",89.81,6,0,88.815,0
"16","routing policy",89.81,6,0,88.815,0
"17","optimal routing",89.1,6,2,88.815,0.008
"18","mutual exclusion",87.62,6,6,88.815,0.025
"19","general solution",82.86,6,20,88.815,0.084
"20","imaging system",75.79,6,44,88.815,0.185
"21","information processing",75.7,7,91,103.618,0.383
"22","fuzzy automata",75.01,5,0,74.013,0
"23","information complexity",75.01,5,0,74.013,0
"24","sub j",75.01,5,0,74.013,0
"25","fuzzy modeling",75.01,5,0,74.013,0
"26","bit plane",75.01,5,0,74.013,0
"27","optimal routing policy",75.01,5,0,74.013,0
"28","wavelet transform",75.01,5,0,74.013,0
"29","interval type-2",75.01,5,0,74.013,0
"30","cast shadow",74.12,5,3,74.013,0.013
"31","logic programming",72.62,5,8,74.013,0.034
"32","gel electrophoresis",72.34,5,9,74.013,0.038
"33","control problem",72.34,5,9,74.013,0.038
"34","decision support system",72.34,5,9,74.013,0.038
"35","selection method",71.17,5,13,74.013,0.055
"36","dynamic programming",70.9,5,14,74.013,0.059
"37","control center",68.09,6,76,88.815,0.32
"38","structural analysis",65.92,5,33,74.013,0.139
"39","color space",65.92,5,33,74.013,0.139
"40","control system",65.53,13,464,192.433,1.953
"41","linear regression",63.09,5,45,74.013,0.189
"42","finite element",62.67,5,47,74.013,0.198
"43","government procurement",62.2,5,49,74.013,0.206
"44","hybrid algorithm",60.21,4,0,59.21,0
"45","sense amplifier",60.21,4,0,59.21,0
"46","recurrent bus",60.21,4,0,59.21,0
"47","camera calibration",60.21,4,0,59.21,0
"48","piezoelectric cantilever",60.21,4,0,59.21,0
"49","computational color constancy",60.21,4,0,59.21,0
"50","sliding mode control",60.21,4,0,59.21,0
"51","bridge crack",60.21,4,0,59.21,0
"52","ultrathin-layer gel electrophoresis",60.21,4,0,59.21,0
"53","fractional frequency",60.21,4,0,59.21,0
"54","ultrathin-layer gel",60.21,4,0,59.21,0
"55","subspace identification",60.21,4,0,59.21,0
"56","lateral inhibition",60.21,4,0,59.21,0
"57","moving switching line",60.21,4,0,59.21,0
"58","tuning method",60.21,4,0,59.21,0
"59","operational phase-space",60.21,4,0,59.21,0
"60","underground poetry",60.21,4,0,59.21,0
"61","operational phase-space probability",60.21,4,0,59.21,0
"62","phase-space probability",60.21,4,0,59.21,0
"63","integration range",60.21,4,0,59.21,0
"64","subset selection",60.21,4,0,59.21,0
"65","flexible manufacturing system",60.21,4,0,59.21,0
"66","fuzzy set theory",60.21,4,0,59.21,0
"67","random vector",60.21,4,0,59.21,0
"68","computational color",59.97,4,1,59.21,0.004
"69","feedback controller",59.97,4,1,59.21,0.004
"70","pid controller",59.97,4,1,59.21,0.004
"71","noise effect",59.97,4,1,59.21,0.004
"72","moment function",59.97,4,1,59.21,0.004
"73","structural identification",59.97,4,1,59.21,0.004
"74","correlation method",59.97,4,1,59.21,0.004
"75","principal component analysis",59.73,4,2,59.21,0.008
"76","binary relation",59.73,4,2,59.21,0.008
"77","high-end computing",59.5,4,3,59.21,0.013
"78","predictive control",59.5,4,3,59.21,0.013
"79","dispersion model",59.5,4,3,59.21,0.013
"80","component analysis",59.26,4,4,59.21,0.017
"81","adaptive control",59.26,4,4,59.21,0.017
"82","fault diagnosis",59.26,4,4,59.21,0.017
"83","friction force",59.26,4,4,59.21,0.017
"84","flexible manufacturing",59.26,4,4,59.21,0.017
"85","design method",59.26,4,4,59.21,0.017
"86","fuzzy set",59.26,4,4,59.21,0.017
"87","iterative algorithm",58.97,4,5,59.21,0.021
"88","information security policy",58.74,4,6,59.21,0.025
"89","collective action",58.71,7,186,103.618,0.783
"90","privacy control",58.51,4,7,59.21,0.029
"91","technical system",58.51,4,7,59.21,0.029
"92","principal component",58.29,4,8,59.21,0.034
"93","feedback control",58.06,4,9,59.21,0.038
"94","mode control",57.78,4,10,59.21,0.042
"95","memory recall",57.78,4,10,59.21,0.042
"96","emotional arousal",57.13,4,13,59.21,0.055
"97","manufacturing system",56.64,4,15,59.21,0.063
"98","maximum likelihood",56.43,4,16,59.21,0.067
"99","set theory",56.01,4,18,59.21,0.076
"100","academic library",54.1,4,27,59.21,0.114
"101","decision support",53.56,6,161,88.815,0.677
"102","internet gambling",53.28,4,31,59.21,0.13
"103","probability distribution",52.68,4,34,59.21,0.143
"104","building management",52.49,4,35,59.21,0.147
"105","correlation coefficient",51.37,4,41,59.21,0.173
"106","scholarly communication",51.2,4,42,59.21,0.177
"107","liquid crystal",51.03,4,43,59.21,0.181
"108","original paper",50.13,4,48,59.21,0.202
"109","magnetic resonance",48.89,6,199,88.815,0.837
"110","novel approach",47.94,4,61,59.21,0.257
"111","temperature control",46.82,4,68,59.21,0.286
"112","variable admittance",45.41,3,0,44.408,0
"113","channel allocation",45.41,3,0,44.408,0
"114","set approximation",45.41,3,0,44.408,0
"115","classical automata",45.41,3,0,44.408,0
"116","qualitative bond",45.41,3,0,44.408,0
"117","moving cast",45.41,3,0,44.408,0
"118","organisational commitment",45.41,3,0,44.408,0
"119","robot condition",45.41,3,0,44.408,0
"120","adaptive fuzzy control",45.41,3,0,44.408,0
"121","fuzzy controller",45.41,3,0,44.408,0
"122","optical correlator",45.41,3,0,44.408,0
"123","identity deception",45.41,3,0,44.408,0
"124","fuzzy decision",45.41,3,0,44.408,0
"125","intelligent fuzzy decision",45.41,3,0,44.408,0
"126","far-field diffraction",45.41,3,0,44.408,0
"127","macrocyclic effect",45.41,3,0,44.408,0
"128","molecular equivalence",45.41,3,0,44.408,0
"129","state estimation",45.41,3,0,44.408,0
"130","nonlinear extrapolation",45.41,3,0,44.408,0
"131","self-organizing feature",45.41,3,0,44.408,0
"132","site firm",45.41,3,0,44.408,0
"133","chlorophyll fluorescence",45.41,3,0,44.408,0
"134","rail grade",45.41,3,0,44.408,0
"135","new subspace identification",45.41,3,0,44.408,0
"136","archival imagination",45.41,3,0,44.408,0
"137","integral imaging",45.41,3,0,44.408,0
"138","two-step integral imaging",45.41,3,0,44.408,0
"139","bridge crack inspection",45.41,3,0,44.408,0
"140","scale invariance",45.41,3,0,44.408,0
"141","basic japanese kanji",45.41,3,0,44.408,0
"142","whole kidney",45.41,3,0,44.408,0
"143","small academic library",45.41,3,0,44.408,0
"144","waypoint line",45.41,3,0,44.408,0
"145","edge map",45.41,3,0,44.408,0
"146","high-end computing market",45.41,3,0,44.408,0
"147","circular mask",45.41,3,0,44.408,0
"148","object motion",45.41,3,0,44.408,0
"149","sub n",45.41,3,0,44.408,0
"150","surgical navigation",45.41,3,0,44.408,0
"151","proactive password",45.41,3,0,44.408,0
"152","controller performance",45.41,3,0,44.408,0
"153","extension principle",45.41,3,0,44.408,0
"154","problem of structural identification",45.41,3,0,44.408,0
"155","trapezoidal velocity profile",45.41,3,0,44.408,0
"156","velocity profile",45.41,3,0,44.408,0
"157","escholarship program",45.41,3,0,44.408,0
"158","consortial purchasing",45.41,3,0,44.408,0
"159","moving cast shadow",45.41,3,0,44.408,0
"160","hybrid simulation",45.41,3,0,44.408,0
"161","new subspace",45.41,3,0,44.408,0
"162","moving switching",45.41,3,0,44.408,0
"163","data-retention time",45.41,3,0,44.408,0
"164","molecular topology",45.41,3,0,44.408,0
"165","impulse turbine",45.41,3,0,44.408,0
"166","trapezoidal velocity",45.41,3,0,44.408,0
"167","object-oriented version",45.41,3,0,44.408,0
"168","earshell vibration",45.41,3,0,44.408,0
"169","ms work",45.41,3,0,44.408,0
"170","quantum communication",45.23,3,1,44.408,0.004
"171","spatial correlation",45.23,3,1,44.408,0.004
"172","servo drive",45.23,3,1,44.408,0.004
"173","crack inspection",45.23,3,1,44.408,0.004
"174","japanese kanji",45.23,3,1,44.408,0.004
"175","filtering method",45.23,3,1,44.408,0.004
"176","information rate",45.23,3,1,44.408,0.004
"177","frequency-domain response",45.23,3,1,44.408,0.004
"178","manipulator system",45.23,3,1,44.408,0.004
"179","security policy",45.19,5,157,74.013,0.661
"180","cellular automaton",45.05,3,2,44.408,0.008
"181","health checkup",45.05,3,2,44.408,0.008
"182","feedback component",45.05,3,2,44.408,0.008
"183","optimum design",45.05,3,2,44.408,0.008
"184","human expert",45.05,3,2,44.408,0.008
"185","lifestyle improvement",45.05,3,2,44.408,0.008
"186","biological model",45.05,3,2,44.408,0.008
"187","element model",45.05,3,2,44.408,0.008
"188","finite element model",45.05,3,2,44.408,0.008
"189","analysis algorithm",44.87,3,3,44.408,0.013
"190","large compound",44.87,3,3,44.408,0.013
"191","frequency domain",44.87,3,3,44.408,0.013
"192","point light",44.87,3,3,44.408,0.013
"193","intestinal microflora",44.87,3,3,44.408,0.013
"194","injection moulding",44.87,3,3,44.408,0.013
"195","variable selection",44.87,3,3,44.408,0.013
"196","service discovery",44.69,3,4,44.408,0.017
"197","covariance matrix",44.69,3,4,44.408,0.017
"198","synchronous motor",44.69,3,4,44.408,0.017
"199","inverse problem",44.69,3,4,44.408,0.017
"200","memory cell",44.47,3,5,44.408,0.021
"201","security event",44.3,3,6,44.408,0.025
"202","word frequency",44.3,3,6,44.408,0.025
"203","supervisory control",44.13,3,7,44.408,0.029
"204","digital democracy",44.13,3,7,44.408,0.029
"205","personal computer industry",44.13,3,7,44.408,0.029
"206","color model",44.13,3,7,44.408,0.029
"207","experimental setup",44.13,3,7,44.408,0.029
"208","digital library",44.08,4,87,59.21,0.366
"209","cache memory",43.96,3,8,44.408,0.034
"210","noise reduction",43.82,4,89,59.21,0.375
"211","dynamic pricing",43.79,3,9,44.408,0.038
"212","image restoration",43.79,3,9,44.408,0.038
"213","medical image",43.58,3,10,44.408,0.042
"214","ion exchange",43.41,3,11,44.408,0.046
"215","computational model",43.41,3,11,44.408,0.046
"216","optimization problem",43.41,3,11,44.408,0.046
"217","edge detection",43.24,3,12,44.408,0.05
"218","new symbol",43.24,3,12,44.408,0.05
"219","computational complexity",43.08,3,13,44.408,0.055
"220","computer industry",43.04,4,95,59.21,0.4
"221","error rate",43.04,4,95,59.21,0.4
"222","online advice",42.92,3,14,44.408,0.059
"223","optimal strategy",42.92,3,14,44.408,0.059
"224","image compression",42.72,3,15,44.408,0.063
"225","linear programming",42.72,3,15,44.408,0.063
"226","security crisis",42.56,3,16,44.408,0.067
"227","control strategy",42.56,3,16,44.408,0.067
"228","color image",42.4,3,17,44.408,0.072
"229","previous research",42.09,5,186,74.013,0.783
"230","cellular automata",42.08,3,19,44.408,0.08
"231","acquisition system",42.08,3,19,44.408,0.08
"232","simulation model",41.89,3,20,44.408,0.084
"233","focal plane",41.89,3,20,44.408,0.084
"234","decision analysis",41.73,3,21,44.408,0.088
"235","power conversion",41.58,3,22,44.408,0.093
"236","streaming content",41.43,3,23,44.408,0.097
"237","good agreement",41.28,3,24,44.408,0.101
"238","optical fiber",41.09,3,25,44.408,0.105
"239","computing market",41.09,3,25,44.408,0.105
"240","traffic noise",40.8,3,27,44.408,0.114
"241","time series",40.46,4,116,59.21,0.488
"242","information system",40.01,5,208,74.013,0.875
"243","supply voltage",39.31,3,37,44.408,0.156
"244","speed control",39.01,3,39,44.408,0.164
"245","mathematical model",39.01,3,39,44.408,0.164
"246","social identity",38.48,3,43,44.408,0.181
"247","thin client",38.32,3,44,44.408,0.185
"248","site management",38.32,3,44,44.408,0.185
"249","information security",38.15,7,414,103.618,1.742
"250","frequency response",37.81,3,48,44.408,0.202
"251","survey research",37.53,3,50,44.408,0.21
"252","rendering engine",37.4,3,51,44.408,0.215
"253","traffic flow",36.83,4,151,59.21,0.635
"254","support structure",36.65,3,57,44.408,0.24
"255","content analysis",36.5,3,58,44.408,0.244
"256","scholarly publishing",36.04,3,62,44.408,0.261
"257","hotel industry",35.31,3,68,44.408,0.286
"258","markup language",35.2,3,69,44.408,0.29
"259","motion control",33.56,3,84,44.408,0.353
"260","original image",33.24,3,87,44.408,0.366
"261","power industry",33.14,3,88,44.408,0.37
"262","time interval",33.05,3,89,44.408,0.375
"263","run time",32.25,3,97,44.408,0.408
"264","experimental design",32.16,3,98,44.408,0.412
"265","support system",31.78,6,434,88.815,1.826
"266","public library",31.69,5,325,74.013,1.368
"267","simple method",31.4,3,106,44.408,0.446
"268","online support",31.06,3,110,44.408,0.463
"269","personal computer",31.05,6,450,88.815,1.894
"270","internet search",30.8,4,227,59.21,0.955
"271","implementing internet",30.61,2,2,29.605,0.008
"272","intelligent wap",30.61,2,0,29.605,0
"273","acceptance of building management",30.61,2,0,29.605,0
"274","user acceptance of building management",30.61,2,0,29.605,0
"275","homogeneous access",30.61,2,0,29.605,0
"276","positioning accuracy",30.61,2,0,29.605,0
"277","acquisition of out-of-print music",30.61,2,0,29.605,0
"278","frequency acquisition",30.61,2,0,29.605,0
"279","partial actuator",30.61,2,0,29.605,0
"280","content adaptation",30.61,2,0,29.605,0
"281","back-propagation algorithm",30.61,2,0,29.605,0
"282","extrapolation algorithm",30.61,2,0,29.605,0
"283","identification algorithm",30.61,2,0,29.605,0
"284","nonlinear extrapolation algorithm",30.61,2,0,29.605,0
"285","registration algorithm",30.61,2,0,29.605,0
"286","spiht algorithm",30.61,2,0,29.605,0
"287","structural analysis algorithm",30.61,2,0,29.605,0
"288","adaptive vector channel allocation",30.61,2,0,29.605,0
"289","vector channel allocation",30.61,2,0,29.605,0
"290","plotting ambiguity",30.61,2,0,29.605,0
"291","design sensitivity analysis",30.61,2,0,29.605,0
"292","electromagnetic source analysis",30.61,2,0,29.605,0
"293","nonlinear time series analysis",30.61,2,0,29.605,0
"294","beam approach",30.61,2,0,29.605,0
"295","eccentric light beam approach",30.61,2,0,29.605,0
"296","fuzzy logic approach",30.61,2,0,29.605,0
"297","identification approach",30.61,2,0,29.605,0
"298","light beam approach",30.61,2,0,29.605,0
"299","logic approach",30.61,2,0,29.605,0
"300","new subspace identification approach",30.61,2,0,29.605,0
"301","subspace identification approach",30.61,2,0,29.605,0
"302","rough set approximation",30.61,2,0,29.605,0
"303","renal autoregulation",30.61,2,0,29.605,0
"304","steady-state availability",30.61,2,0,29.605,0
"305","additional input beam",30.61,2,0,29.605,0
"306","eccentric light beam",30.61,2,0,29.605,0
"307","input beam",30.61,2,0,29.605,0
"308","power-law behavior",30.61,2,0,29.605,0
"309","hypertensive blood",30.61,2,0,29.605,0
"310","renal blood",30.61,2,0,29.605,0
"311","reconfigurable bus",30.61,2,0,29.605,0
"312","runtime reconfigurable bus",30.61,2,0,29.605,0
"313","s runtime reconfigurable bus",30.61,2,0,29.605,0
"314","gradient piezoelectric cantilever",30.61,2,0,29.605,0
"315","data-hiding capacity",30.61,2,0,29.605,0
"316","tag cell",30.61,2,0,29.605,0
"317","adaptive vector channel",30.61,2,0,29.605,0
"318","vector channel",30.61,2,0,29.605,0
"319","context-aware chat",30.61,2,0,29.605,0
"320","self-consistent choice",30.61,2,0,29.605,0
"321","class of multistep control",30.61,2,0,29.605,0
"322","device-independent color",30.61,2,0,29.605,0
"323","monocular color",30.61,2,0,29.605,0
"324","electronic scholarly communication",30.61,2,0,29.605,0
"325","comparison of computational color",30.61,2,0,29.605,0
"326","comparison of computational color constancy",30.61,2,0,29.605,0
"327","dead-time compensator",30.61,2,0,29.605,0
"328","simple dead-time compensator",30.61,2,0,29.605,0
"329","beneficial complement",30.61,2,0,29.605,0
"330","remote step complexity",30.61,2,0,29.605,0
"331","space complexity",30.61,2,0,29.605,0
"332","step complexity",30.61,2,0,29.605,0
"333","learning feedback component",30.61,2,0,29.605,0
"334","curvature computation",30.61,2,0,29.605,0
"335","library consortia",30.61,2,0,29.605,0
"336","agent constraint",30.61,2,0,29.605,0
"337","construction of panoramic image",30.61,2,0,29.605,0
"338","student consulting",30.61,2,0,29.605,0
"339","accessible streaming content",30.61,2,0,29.605,0
"340","point contention",30.61,2,0,29.605,0
"341","barrel temperature control",30.61,2,0,29.605,0
"342","computer-aided control",30.61,2,0,29.605,0
"343","earshell vibration control",30.61,2,0,29.605,0
"344","feedback sliding mode control",30.61,2,0,29.605,0
"345","incremental motion control",30.61,2,0,29.605,0
"346","multistep control",30.61,2,0,29.605,0
"347","output feedback sliding mode control",30.61,2,0,29.605,0
"348","state feedback control",30.61,2,0,29.605,0
"349","time-optimal control",30.61,2,0,29.605,0
"350","using earshell vibration control",30.61,2,0,29.605,0
"351","exact controllability",30.61,2,0,29.605,0
"352","state feedback controller",30.61,2,0,29.605,0
"353","using fuzzy controller",30.61,2,0,29.605,0
"354","energy power conversion",30.61,2,0,29.605,0
"355","wave energy power conversion",30.61,2,0,29.605,0
"356","classical convergent correlator",30.61,2,0,29.605,0
"357","convergent correlator",30.61,2,0,29.605,0
"358","incoherent correlator",30.61,2,0,29.605,0
"359","experimental cost",30.61,2,0,29.605,0
"360","business school management science course",30.61,2,0,29.605,0
"361","management science course",30.61,2,0,29.605,0
"362","school management science course",30.61,2,0,29.605,0
"363","information criterion",30.61,2,0,29.605,0
"364","silica crucible",30.61,2,0,29.605,0
"365","nematic liquid crystal",30.61,2,0,29.605,0
"366","high-frequency currency",30.61,2,0,29.605,0
"367","wavelet decomposition",30.61,2,0,29.605,0
"368","keyboard delay",30.61,2,0,29.605,0
"369","long-range dependence",30.61,2,0,29.605,0
"370","breath detection",30.61,2,0,29.605,0
"371","metastasis detection",30.61,2,0,29.605,0
"372","optimal threshold determination",30.61,2,0,29.605,0
"373","near-field diffraction",30.61,2,0,29.605,0
"374","zero-order diffraction",30.61,2,0,29.605,0
"375","arbitrary direction",30.61,2,0,29.605,0
"376","floating disc",30.61,2,0,29.605,0
"377","noise distribution",30.61,2,0,29.605,0
"378","operational phase-space probability distribution",30.61,2,0,29.605,0
"379","phase-space probability distribution",30.61,2,0,29.605,0
"380","prior class distribution",30.61,2,0,29.605,0
"381","multilane domain",30.61,2,0,29.605,0
"382","collective dose",30.61,2,0,29.605,0
"383","pmlsm servo drive",30.61,2,0,29.605,0
"384","using earshell",30.61,2,0,29.605,0
"385","information architecture education",30.61,2,0,29.605,0
"386","ms education",30.61,2,0,29.605,0
"387","effect of changing part",30.61,2,0,29.605,0
"388","effect of changing part mix",30.61,2,0,29.605,0
"389","subsequent ultrathin-layer gel electrophoresis",30.61,2,0,29.605,0
"390","boundary element",30.61,2,0,29.605,0
"391","3-d rendering engine",30.61,2,0,29.605,0
"392","class-conditional error",30.61,2,0,29.605,0
"393","thermal error",30.61,2,0,29.605,0
"394","adaptive estimation",30.61,2,0,29.605,0
"395","model adaptive estimation",30.61,2,0,29.605,0
"396","high-frequency currency exchange",30.61,2,0,29.605,0
"397","ion exchanger",30.61,2,0,29.605,0
"398","ordinary mutual exclusion",30.61,2,0,29.605,0
"399","adaptive robust state feedback",30.61,2,0,29.605,0
"400","output feedback",30.61,2,0,29.605,0
"401","robust state feedback",30.61,2,0,29.605,0
"402","hypertensive blood flow",30.61,2,0,29.605,0
"403","renal blood flow",30.61,2,0,29.605,0
"404","tuning formula",30.61,2,0,29.605,0
"405","characteristic function",30.61,2,0,29.605,0
"406","numerical function",30.61,2,0,29.605,0
"407","plenoptic function",30.61,2,0,29.605,0
"408","smoothing functional",30.61,2,0,29.605,0
"409","subsequent ultrathin-layer gel",30.61,2,0,29.605,0
"410","high-speed rail grade",30.61,2,0,29.605,0
"411","bond graph",30.61,2,0,29.605,0
"412","qualitative bond graph",30.61,2,0,29.605,0
"413","ultimate control group",30.61,2,0,29.605,0
"414","horizontal waypoint guidance",30.61,2,0,29.605,0
"415","line-following guidance",30.61,2,0,29.605,0
"416","waypoint guidance",30.61,2,0,29.605,0
"417","personal identifiability",30.61,2,0,29.605,0
"418","model identification",30.61,2,0,29.605,0
"419","scene illuminant",30.61,2,0,29.605,0
"420","binocular image",30.61,2,0,29.605,0
"421","color traffic image",30.61,2,0,29.605,0
"422","edge probability image",30.61,2,0,29.605,0
"423","mixed-norm image",30.61,2,0,29.605,0
"424","monocular color traffic image",30.61,2,0,29.605,0
"425","probability image",30.61,2,0,29.605,0
"426","traffic image",30.61,2,0,29.605,0
"427","manipulator imaging",30.61,2,0,29.605,0
"428","mobile manipulator imaging",30.61,2,0,29.605,0
"429","time imaging",30.61,2,0,29.605,0
"430","sub infinity",30.61,2,0,29.605,0
"431","influence of proactive password",30.61,2,0,29.605,0
"432","location-dependent information",30.61,2,0,29.605,0
"433","preintegration lateral inhibition",30.61,2,0,29.605,0
"434","implementing internet inquiry",30.61,2,0,29.605,0
"435","internet inquiry",30.61,2,0,29.605,0
"436","sub insp",30.61,2,0,29.605,0
"437","evolving institution",30.61,2,0,29.605,0
"438","regarding web-based instruction",30.61,2,0,29.605,0
"439","hue saturation intensity",30.61,2,0,29.605,0
"440","saturation intensity",30.61,2,0,29.605,0
"441","information interactivity",30.61,2,0,29.605,0
"442","cardiac interference",30.61,2,0,29.605,0
"443","disruptive interference",30.61,2,0,29.605,0
"444","digital library interoperability",30.61,2,0,29.605,0
"445","library interoperability",30.61,2,0,29.605,0
"446","color plane interpolation",30.61,2,0,29.605,0
"447","plane interpolation",30.61,2,0,29.605,0
"448","linear interval",30.61,2,0,29.605,0
"449","sup kappa",30.61,2,0,29.605,0
"450","cell biology laboratory",30.61,2,0,29.605,0
"451","m-dimensional lambda",30.61,2,0,29.605,0
"452","object lens",30.61,2,0,29.605,0
"453","single-nephron level",30.61,2,0,29.605,0
"454","fast maximum likelihood",30.61,2,0,29.605,0
"455","agent constraint logic",30.61,2,0,29.605,0
"456","all-optical logic",30.61,2,0,29.605,0
"457","constraint logic",30.61,2,0,29.605,0
"458","interval type-2 fuzzy logic",30.61,2,0,29.605,0
"459","type-2 fuzzy logic",30.61,2,0,29.605,0
"460","feedforward loop",30.61,2,0,29.605,0
"461","loss of system coordination",30.61,2,0,29.605,0
"462","business school management",30.61,2,0,29.605,0
"463","intelligent wap site management",30.61,2,0,29.605,0
"464","security crisis management",30.61,2,0,29.605,0
"465","wap site management",30.61,2,0,29.605,0
"466","mobile manipulator",30.61,2,0,29.605,0
"467","manufacture of impulse turbine",30.61,2,0,29.605,0
"468","distance map",30.61,2,0,29.605,0
"469","nonlinear map",30.61,2,0,29.605,0
"470","natural martingale",30.61,2,0,29.605,0
"471","image material",30.61,2,0,29.605,0
"472","processing meaning",30.61,2,0,29.605,0
"473","fault detection mechanism",30.61,2,0,29.605,0
"474","content-addressable memory",30.61,2,0,29.605,0
"475","quantum memory",30.61,2,0,29.605,0
"476","shared content-addressable memory",30.61,2,0,29.605,0
"477","interactive mesh",30.61,2,0,29.605,0
"478","adaptive filtering method",30.61,2,0,29.605,0
"479","gamut-mapping method",30.61,2,0,29.605,0
"480","mtd method",30.61,2,0,29.605,0
"481","net method",30.61,2,0,29.605,0
"482","neural net method",30.61,2,0,29.605,0
"483","subset selection method",30.61,2,0,29.605,0
"484","target-level method",30.61,2,0,29.605,0
"485","variable selection method",30.61,2,0,29.605,0
"486","changing part mix",30.61,2,0,29.605,0
"487","hierarchical mixture",30.61,2,0,29.605,0
"488","feedback sliding mode",30.61,2,0,29.605,0
"489","ideal sliding mode",30.61,2,0,29.605,0
"490","output feedback sliding mode",30.61,2,0,29.605,0
"491","resonance mode",30.61,2,0,29.605,0
"492","automaton model",30.61,2,0,29.605,0
"493","cellular automaton model",30.61,2,0,29.605,0
"494","general enterprise model",30.61,2,0,29.605,0
"495","hierarchical mixture model",30.61,2,0,29.605,0
"496","mathematical model of ion exchange",30.61,2,0,29.605,0
"497","model of ion exchange",30.61,2,0,29.605,0
"498","truth model",30.61,2,0,29.605,0
"499","second-order moment",30.61,2,0,29.605,0
"500","robot condition monitoring",30.61,2,0,29.605,0
"501","incremental motion",30.61,2,0,29.605,0
"502","linear synchronous motor",30.61,2,0,29.605,0
